date,region,event_count_1d,severity_sum_1d,demand_up_score_1d,demand_down_score_1d,outage_score_1d,extreme_weather_score_1d,market_stress_score_1d,llm_confidence_mean_1d,event_count_3d,severity_sum_3d,demand_up_score_3d,demand_down_score_3d,outage_score_3d,extreme_weather_score_3d,market_stress_score_3d,llm_confidence_mean_3d,event_count_7d,severity_sum_7d,demand_up_score_7d,demand_down_score_7d,outage_score_7d,extreme_weather_score_7d,market_stress_score_7d,llm_confidence_mean_7d
2019-01-03,NSW1,1.0,0.85,0.85,0.0,0.0,0.85,0.0,0.5875,1.0,0.85,0.85,0.0,0.0,0.85,0.0,0.5875,1.0,0.85,0.85,0.0,0.0,0.85,0.0,0.5875
2019-01-04,NSW1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.85,0.85,0.0,0.0,0.85,0.0,0.29375,1.0,0.85,0.85,0.0,0.0,0.85,0.0,0.29375
2019-01-05,NSW1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.85,0.85,0.0,0.0,0.85,0.0,0.19583333333333333,1.0,0.85,0.85,0.0,0.0,0.85,0.0,0.19583333333333333
2019-01-06,NSW1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.85,0.85,0.0,0.0,0.85,0.0,0.146875
2019-01-07,NSW1,1.0,0.85,0.85,0.0,0.85,0.0,0.0,0.6125,1.0,0.85,0.85,0.0,0.85,0.0,0.0,0.2041666666666667,2.0,1.7,1.7,0.0,0.85,0.85,0.0,0.24000000000000005
2019-01-08,NSW1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.85,0.85,0.0,0.85,0.0,0.0,0.2041666666666667,2.0,1.7,1.7,0.0,0.85,0.85,0.0,0.20000000000000004
2019-01-09,NSW1,1.0,0.85,0.85,0.0,0.85,0.0,0.0,0.6000000000000001,2.0,1.7,1.7,0.0,1.7,0.0,0.0,0.40416666666666673,3.0,2.55,2.55,0.0,1.7,0.85,0.0,0.2571428571428572
2019-01-10,NSW1,1.0,0.85,0.85,0.0,0.0,0.85,0.0,0.6875,2.0,1.7,1.7,0.0,0.85,0.85,0.0,0.4291666666666667,3.0,2.55,2.55,0.0,1.7,0.85,0.0,0.27142857142857146
2019-01-11,NSW1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.7,1.7,0.0,0.85,0.85,0.0,0.4291666666666667,3.0,2.55,2.55,0.0,1.7,0.85,0.0,0.27142857142857146
2019-01-12,NSW1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.85,0.85,0.0,0.0,0.85,0.0,0.22916666666666666,3.0,2.55,2.55,0.0,1.7,0.85,0.0,0.27142857142857146
2019-01-13,NSW1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.55,2.55,0.0,1.7,0.85,0.0,0.27142857142857146
2019-01-14,NSW1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.7,1.7,0.0,0.85,0.85,0.0,0.18392857142857144
2019-01-15,NSW1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.7,1.7,0.0,0.85,0.85,0.0,0.18392857142857144
2019-01-16,NSW1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.85,0.85,0.0,0.0,0.85,0.0,0.09821428571428571
2019-01-17,NSW1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-18,NSW1,1.0,0.85,0.85,0.0,0.85,0.0,0.0,0.7125,1.0,0.85,0.85,0.0,0.85,0.0,0.0,0.23750000000000002,1.0,0.85,0.85,0.0,0.85,0.0,0.0,0.10178571428571428
2019-01-19,NSW1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.85,0.85,0.0,0.85,0.0,0.0,0.23750000000000002,1.0,0.85,0.85,0.0,0.85,0.0,0.0,0.10178571428571428
2019-01-20,NSW1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.85,0.85,0.0,0.85,0.0,0.0,0.23750000000000002,1.0,0.85,0.85,0.0,0.85,0.0,0.0,0.10178571428571428
2019-01-21,NSW1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.85,0.85,0.0,0.85,0.0,0.0,0.10178571428571428
2019-01-22,NSW1,1.0,0.85,0.85,0.0,0.85,0.0,0.0,0.6000000000000001,1.0,0.85,0.85,0.0,0.85,0.0,0.0,0.20000000000000004,2.0,1.7,1.7,0.0,1.7,0.0,0.0,0.1875
2019-01-23,NSW1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.85,0.85,0.0,0.85,0.0,0.0,0.20000000000000004,2.0,1.7,1.7,0.0,1.7,0.0,0.0,0.1875
